method,scenario,episode,success,steps,total_reward,path_length,collisions,replans
A*,open,1,True,6,103.91552506059644,6.414213562373095,0,0
A*,open,2,True,7,106.89213562373095,7.414213562373095,0,0
A*,open,3,True,8,110.51029162546929,10.899494936611667,0,0
A*,open,4,True,5,100.25,5.82842712474619,0,0
A*,open,5,True,7,105.89213562373095,7.414213562373095,0,0
A*,open,6,True,2,101.22213595499957,2.414213562373095,0,0
A*,open,7,True,4,102.49621125123531,4.414213562373095,0,0
A*,open,8,True,5,105.8062484748657,6.65685424949238,0,0
A*,open,9,True,6,105.89213562373095,7.656854249492381,0,0
A*,open,10,True,3,98.65685424949238,3.414213562373095,0,0
Pure DDQN,open,1,False,200,-200.72967038573097,282.8427124746201,0,0
Pure DDQN,open,2,True,3,102.71110255092798,3.8284271247461903,0,0
Pure DDQN,open,3,True,12,102.5,16.142135623730955,0,0
Pure DDQN,open,4,True,7,104.0562484748657,8.65685424949238,0,0
Pure DDQN,open,5,True,11,103.97366596101028,14.727922061357859,0,0
Pure DDQN,open,6,True,3,101.22213595499957,3.0,0,0
Pure DDQN,open,7,True,8,104.81021977856103,10.899494936611667,0,0
Pure DDQN,open,8,True,9,105.75,10.65685424949238,0,0
Pure DDQN,open,9,True,8,105.1245154965971,10.899494936611667,0,0
Pure DDQN,open,10,True,4,102.74621125123531,5.242640687119286,0,0
Hybrid DDQN+A*,open,1,False,200,-267.95180634073057,200.82842712474618,0,0
Hybrid DDQN+A*,open,2,False,200,-244.53889744907204,200.0,0,0
Hybrid DDQN+A*,open,3,True,17,95.5,18.242640687119287,0,0
Hybrid DDQN+A*,open,4,True,6,105.8062484748657,8.071067811865476,0,0
Hybrid DDQN+A*,open,5,False,200,-198.8547611637359,242.24978336205615,0,0
Hybrid DDQN+A*,open,6,True,2,102.22213595499957,2.414213562373095,0,0
Hybrid DDQN+A*,open,7,True,10,101.81021977856103,11.242640687119286,0,0
Hybrid DDQN+A*,open,8,True,11,102.75,12.656854249492381,0,0
Hybrid DDQN+A*,open,9,True,13,97.6245154965971,13.828427124746192,0,0
Hybrid DDQN+A*,open,10,True,6,99.74621125123532,6.414213562373095,0,0
A*,aisle,1,True,8,102.1245154965971,8.414213562373096,0,0
A*,aisle,2,True,14,94.13330765278394,14.414213562373096,0,0
A*,aisle,3,True,16,80.3378608397885,16.414213562373096,0,0
A*,aisle,4,True,9,81.5922087274677,9.414213562373096,0,0
A*,aisle,5,True,2,100.97213595499957,2.414213562373095,0,0
A*,aisle,6,True,2,100.97213595499957,2.414213562373095,0,0
A*,aisle,7,True,10,84.6282066392008,10.0,0,0
A*,aisle,8,True,12,86.65038886852437,12.0,0,0
A*,aisle,9,True,7,96.1619037896906,7.414213562373095,0,0
