method,scenario,episode,success,steps,total_reward,path_length,collisions,replans
A*,open,1,True,6,97.35302506059644,6.414213562373095,0,1
A*,open,2,True,7,104.64213562373095,7.414213562373095,0,1
A*,open,3,True,13,5.760291625469279,12.071067811865476,3,2
A*,open,4,True,5,84.375,5.82842712474619,0,0
A*,open,5,True,7,102.57963562373095,7.414213562373095,0,0
A*,open,6,True,7,23.972135954999573,5.0,2,1
A*,open,7,True,4,98.24621125123531,4.414213562373095,0,0
A*,open,8,True,5,105.8062484748657,6.65685424949238,0,0
A*,open,9,True,11,32.668708416167604,10.242640687119286,2,2
A*,open,10,True,3,98.65685424949238,3.414213562373095,0,0
Pure DDQN,open,1,True,79,-636.0844749394034,60.69848480983498,27,0
Pure DDQN,open,2,True,45,-130.04536437626905,40.97056274847714,9,0
Pure DDQN,open,3,False,200,-1275.7500000000005,186.9533188057742,35,0
Pure DDQN,open,4,False,200,-1372.6515633266406,178.26702730475895,47,0
Pure DDQN,open,5,True,135,-756.6078643762692,122.2253967444161,31,0
Pure DDQN,open,6,False,200,-1251.0903640450003,194.72287142747476,38,0
Pure DDQN,open,7,False,200,-1831.5805828109226,154.78174593052023,68,0
Pure DDQN,open,8,True,37,-74.81875152513433,36.798989873223334,6,0
Pure DDQN,open,9,True,59,-554.0187915838324,44.62741699796951,21,0
Pure DDQN,open,10,True,12,-12.343145750507617,8.242640687119284,5,0
Hybrid DDQN+A*,open,1,False,200,-1483.8160211511317,187.30865786510157,45,0
Hybrid DDQN+A*,open,2,False,200,-1240.525152796399,188.89444430272857,43,1
Hybrid DDQN+A*,open,3,False,200,-920.0397053242618,199.0660171779824,32,4
Hybrid DDQN+A*,open,4,True,111,-290.68750000000006,120.05382386916229,10,0
Hybrid DDQN+A*,open,5,True,160,-998.4203643762692,146.36753236814712,36,0
Hybrid DDQN+A*,open,6,True,42,-348.40286404500046,35.38477631085024,12,1
Hybrid DDQN+A*,open,7,True,145,-1259.1278415615727,118.98275605729681,43,2
Hybrid DDQN+A*,open,8,False,200,-1210.2108871488656,194.23759005323618,36,0
Hybrid DDQN+A*,open,9,True,58,-228.2757575950825,59.11269837220807,8,14
Hybrid DDQN+A*,open,10,True,64,-185.3431457505077,65.01219330881972,11,0
A*,aisle,1,True,8,102.1245154965971,8.414213562373096,0,0
A*,aisle,2,True,14,93.19580765278394,14.414213562373096,0,0
A*,aisle,3,False,0,0.0,0.0,0,0
A*,aisle,4,False,1,-1.9758211766894087,1.0,0,1
