method,episode,success,steps,total_reward,path_length,collisions,replans
A*,1,True,6,0.0,6.414213562373095,0,0
A*,2,True,7,0.0,7.414213562373095,0,0
A*,3,True,8,0.0,10.899494936611667,0,0
A*,4,True,5,0.0,5.82842712474619,0,0
A*,5,True,7,0.0,7.414213562373095,0,0
A*,6,True,2,0.0,2.414213562373095,0,0
A*,7,True,4,0.0,4.414213562373095,0,0
A*,8,True,5,0.0,6.65685424949238,0,0
A*,9,True,6,0.0,7.656854249492381,0,0
A*,10,True,3,0.0,3.414213562373095,0,0
Pure DDQN,1,False,200,-200.72967038573097,282.8427124746201,0,0
Pure DDQN,2,True,3,102.71110255092798,3.8284271247461903,0,0
Pure DDQN,3,True,12,102.5,16.142135623730955,0,0
Pure DDQN,4,True,7,104.0562484748657,8.65685424949238,0,0
Pure DDQN,5,True,11,103.97366596101028,14.727922061357859,0,0
Pure DDQN,6,True,3,101.22213595499957,3.0,0,0
Pure DDQN,7,True,8,104.81021977856103,10.899494936611667,0,0
Pure DDQN,8,True,9,105.75,10.65685424949238,0,0
Pure DDQN,9,True,8,105.1245154965971,10.899494936611667,0,0
Pure DDQN,10,True,4,102.74621125123531,5.242640687119286,0,0
Hybrid DDQN+A*,1,False,200,-267.95180634073057,200.82842712474618,0,0
Hybrid DDQN+A*,2,False,200,-244.53889744907204,200.0,0,0
Hybrid DDQN+A*,3,True,17,95.5,18.242640687119287,0,0
Hybrid DDQN+A*,4,True,6,105.8062484748657,8.071067811865476,0,0
Hybrid DDQN+A*,5,False,200,-198.8547611637359,242.24978336205615,0,0
Hybrid DDQN+A*,6,True,2,102.22213595499957,2.414213562373095,0,0
Hybrid DDQN+A*,7,True,10,101.81021977856103,11.242640687119286,0,0
Hybrid DDQN+A*,8,True,11,102.75,12.656854249492381,0,0
Hybrid DDQN+A*,9,True,13,97.6245154965971,13.828427124746192,0,0
Hybrid DDQN+A*,10,True,6,99.74621125123532,6.414213562373095,0,0
